;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;0,3321±0,0146;
mLkNN;0,2219±0,0288;0,2256±0,0254;0,2529±0,0232;0,2506±0,0311;0,2674±0,0296;0,2756±0,0260;0,2519±0,0228;0,2614±0,0183;0,2495±0,0265;0,2734±0,0179;0,2709±0,0211;0,2651±0,0226;0,2579±0,0227;0,2639±0,0184;0,2604±0,0200;0,2591±0,0145;0,2936±0,0215;0,2700±0,0319;0,2891±0,0160;0,2901±0,0195;
bRkNN;0,2050±0,0327;0,2602±0,0082;0,2709±0,0050;0,3103±0,0237;0,3297±0,0153;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;
bRkNN_a;0,2050±0,0327;0,2602±0,0082;0,2709±0,0050;0,3103±0,0237;0,3297±0,0153;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;0,3345±0,0112;
bRkNN_b;0,1955±0,0342;0,2484±0,0215;0,2615±0,0098;0,3021±0,0141;0,3261±0,0136;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;0,3309±0,0104;
mlmut;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;
mlmut_a;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;0,2050±0,0327;
mlmut_b;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;0,1955±0,0342;
mlnotmut;0,2206±0,0376;0,3199±0,0196;0,2941±0,0492;0,3239±0,0485;0,3228±0,0612;0,3790±0,0122;0,3227±0,0469;0,3716±0,0406;0,3081±0,0165;0,3477±0,0207;0,2820±0,0202;0,2830±0,0183;0,2784±0,0215;0,2855±0,0089;0,2914±0,0045;0,3105±0,0124;0,3057±0,0164;0,3164±0,0197;0,2986±0,0144;0,3117±0,0059;
mlnotmut_a;0,2206±0,0376;0,3187±0,0204;0,2941±0,0492;0,3239±0,0485;0,3228±0,0612;0,3790±0,0122;0,3227±0,0469;0,3716±0,0406;0,3081±0,0165;0,3477±0,0207;0,2820±0,0202;0,2830±0,0183;0,2784±0,0215;0,2855±0,0089;0,2914±0,0045;0,3105±0,0124;0,3057±0,0164;0,3164±0,0197;0,2986±0,0144;0,3117±0,0059;
mlnotmut_b;0,2206±0,0376;0,2784±0,0291;0,2953±0,0536;0,3085±0,0536;0,3204±0,0604;0,3551±0,0165;0,3166±0,0268;0,3394±0,0497;0,3129±0,0140;0,3156±0,0394;0,2867±0,0122;0,2794±0,0164;0,2903±0,0231;0,2758±0,0045;0,3021±0,0219;0,3092±0,0214;0,3140±0,0201;0,3164±0,0225;0,3164±0,0225;0,3176±0,0152;
