;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;
mLkNN;0,1847±0,0337;0,2014±0,0371;0,2147±0,0330;0,2075±0,0394;0,2351±0,0315;0,2303±0,0594;0,2267±0,0403;0,2279±0,0409;0,2684±0,0503;0,2671±0,0499;0,2362±0,0382;0,2362±0,0559;0,2481±0,0320;0,2565±0,0608;0,2448±0,0440;0,2339±0,0370;0,2471±0,0237;0,2386±0,0283;0,2588±0,0328;0,2445±0,0309;
bRkNN;0,1847±0,0371;0,2386±0,0212;0,2603±0,0265;0,2760±0,0303;0,2880±0,0292;0,2915±0,0321;0,3177±0,0268;0,3296±0,0289;0,3296±0,0289;0,3296±0,0289;0,3296±0,0289;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;
bRkNN_a;0,1835±0,0381;0,2374±0,0220;0,2603±0,0265;0,2760±0,0303;0,2880±0,0292;0,2915±0,0321;0,3177±0,0268;0,3296±0,0289;0,3296±0,0289;0,3296±0,0289;0,3296±0,0289;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;
bRkNN_b;0,1799±0,0401;0,2290±0,0243;0,2591±0,0285;0,2772±0,0332;0,2975±0,0293;0,3046±0,0299;0,3249±0,0271;0,3307±0,0293;0,3343±0,0329;0,3343±0,0329;0,3332±0,0348;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;0,3321±0,0280;
mlmut;0,1787±0,0386;0,1919±0,0357;0,1872±0,0447;0,1884±0,0379;0,1896±0,0384;0,1872±0,0405;0,1848±0,0416;0,1836±0,0412;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1909±0,0485;0,1909±0,0485;
mlmut_a;0,1787±0,0386;0,1907±0,0370;0,1872±0,0447;0,1884±0,0379;0,1896±0,0384;0,1872±0,0405;0,1848±0,0416;0,1836±0,0412;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1872±0,0462;0,1909±0,0485;0,1909±0,0485;
mlmut_b;0,1787±0,0386;0,1859±0,0387;0,1860±0,0377;0,1896±0,0334;0,1896±0,0334;0,1919±0,0359;0,1919±0,0384;0,1943±0,0357;0,1967±0,0392;0,2014±0,0363;0,2026±0,0370;0,2026±0,0370;0,2026±0,0370;0,2026±0,0370;0,2026±0,0370;0,2026±0,0370;0,2026±0,0370;0,2026±0,0370;0,2063±0,0366;0,2063±0,0366;
mlnotmut;0,2112±0,0293;0,2400±0,0312;0,2231±0,0317;0,2411±0,0179;0,2459±0,0310;0,2542±0,0293;0,2627±0,0307;0,2710±0,0272;0,2528±0,0384;0,2781±0,0185;0,2686±0,0318;0,2733±0,0218;0,2710±0,0341;0,2938±0,0388;0,2903±0,0310;0,2974±0,0257;0,2914±0,0307;0,2985±0,0285;0,2986±0,0313;0,3034±0,0246;
mlnotmut_a;0,2101±0,0310;0,2388±0,0304;0,2231±0,0317;0,2399±0,0174;0,2459±0,0310;0,2542±0,0293;0,2627±0,0307;0,2710±0,0272;0,2528±0,0384;0,2781±0,0185;0,2686±0,0318;0,2733±0,0218;0,2710±0,0341;0,2938±0,0388;0,2903±0,0310;0,2974±0,0257;0,2914±0,0307;0,2985±0,0285;0,2986±0,0313;0,3034±0,0246;
mlnotmut_b;0,2170±0,0200;0,2445±0,0195;0,2481±0,0283;0,2567±0,0202;0,2649±0,0265;0,2806±0,0331;0,2841±0,0279;0,2923±0,0219;0,2852±0,0281;0,2889±0,0252;0,2925±0,0304;0,2961±0,0238;0,2926±0,0494;0,2998±0,0457;0,3118±0,0298;0,3107±0,0304;0,3070±0,0248;0,3070±0,0259;0,3094±0,0301;0,3070±0,0259;
