;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;
mLkNN;0,3533±0,0399;0,3556±0,0437;0,3371±0,0291;0,3371±0,0291;0,3426±0,0279;0,3678±0,0302;0,3871±0,0371;0,3842±0,0598;0,3479±0,0357;0,3559±0,0301;0,3853±0,0430;0,3992±0,0335;0,4764±0,0650;0,4830±0,0746;0,4576±0,0827;0,4262±0,0744;0,4359±0,0643;0,4419±0,0876;0,4396±0,0677;0,3726±0,0292;
bRkNN;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;
bRkNN_a;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;
bRkNN_b;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;
mlmut;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;
mlmut_a;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;0,3407±0,0274;
mlmut_b;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;0,3310±0,0148;
mlnotmut;0,3533±0,0399;0,5250±0,1110;0,3764±0,0872;0,3764±0,0849;0,3448±0,0361;0,3448±0,0361;0,3286±0,0170;0,3371±0,0291;0,3286±0,0170;0,3371±0,0291;0,3371±0,0291;0,3324±0,0335;0,3286±0,0170;0,3371±0,0291;0,3371±0,0291;0,3371±0,0291;0,3371±0,0291;0,3371±0,0291;0,3298±0,0181;0,3371±0,0291;
mlnotmut_a;0,3533±0,0399;0,4948±0,0861;0,3764±0,0872;0,3764±0,0849;0,3448±0,0361;0,3448±0,0361;0,3286±0,0170;0,3371±0,0291;0,3286±0,0170;0,3371±0,0291;0,3371±0,0291;0,3324±0,0335;0,3286±0,0170;0,3371±0,0291;0,3371±0,0291;0,3371±0,0291;0,3371±0,0291;0,3371±0,0291;0,3298±0,0181;0,3371±0,0291;
mlnotmut_b;0,3533±0,0399;0,4673±0,0582;0,3970±0,0843;0,3741±0,0800;0,3774±0,0530;0,3774±0,0530;0,3371±0,0291;0,3371±0,0291;0,3324±0,0335;0,3371±0,0291;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3371±0,0291;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;
