;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;
mLkNN;0,1502±0,0443;0,1789±0,0370;0,2005±0,0432;0,2098±0,0334;0,2223±0,0477;0,2018±0,0601;0,1955±0,0399;0,2114±0,0234;0,2340±0,0199;0,2326±0,0384;0,2136±0,0441;0,2196±0,0479;0,2054±0,0575;0,2289±0,0562;0,2317±0,0606;0,2138±0,0525;0,2304±0,0206;0,2122±0,0165;0,2283±0,0337;0,2183±0,0473;
bRkNN;0,1597±0,0422;0,2087±0,0378;0,2450±0,0496;0,2763±0,0415;0,2882±0,0436;0,2919±0,0475;0,3156±0,0281;0,3300±0,0343;0,3300±0,0343;0,3300±0,0343;0,3300±0,0343;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;
bRkNN_a;0,1585±0,0431;0,2075±0,0392;0,2450±0,0496;0,2763±0,0415;0,2882±0,0436;0,2919±0,0475;0,3156±0,0281;0,3300±0,0343;0,3300±0,0343;0,3300±0,0343;0,3300±0,0343;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;
bRkNN_b;0,1561±0,0426;0,2052±0,0350;0,2511±0,0465;0,2811±0,0450;0,2978±0,0412;0,3051±0,0511;0,3241±0,0359;0,3324±0,0399;0,3324±0,0399;0,3276±0,0348;0,3288±0,0351;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;0,3324±0,0335;
mlmut;0,1550±0,0485;0,1692±0,0343;0,1692±0,0382;0,1619±0,0434;0,1643±0,0432;0,1656±0,0437;0,1644±0,0441;0,1680±0,0500;0,1680±0,0500;0,1753±0,0500;0,1801±0,0428;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1837±0,0463;0,1813±0,0420;
mlmut_a;0,1550±0,0485;0,1680±0,0358;0,1680±0,0395;0,1619±0,0434;0,1643±0,0432;0,1656±0,0437;0,1644±0,0441;0,1680±0,0500;0,1680±0,0500;0,1753±0,0500;0,1801±0,0428;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1825±0,0471;0,1837±0,0463;0,1813±0,0420;
mlmut_b;0,1550±0,0485;0,1633±0,0369;0,1657±0,0357;0,1669±0,0398;0,1680±0,0390;0,1834±0,0413;0,1858±0,0440;0,1883±0,0468;0,1801±0,0514;0,1873±0,0490;0,1933±0,0449;0,1958±0,0465;0,1982±0,0494;0,1982±0,0494;0,2006±0,0492;0,2006±0,0492;0,2006±0,0492;0,2006±0,0492;0,2088±0,0412;0,2076±0,0397;
mlnotmut;0,1848±0,0399;0,2292±0,0375;0,1908±0,0475;0,2559±0,0524;0,2114±0,0576;0,2571±0,0512;0,2295±0,0584;0,2498±0,0561;0,2414±0,0387;0,2606±0,0418;0,2751±0,0483;0,2775±0,0447;0,2871±0,0422;0,2919±0,0444;0,3002±0,0389;0,3109±0,0339;0,3026±0,0377;0,3038±0,0383;0,3037±0,0396;0,3049±0,0360;
mlnotmut_a;0,1836±0,0413;0,2268±0,0386;0,1908±0,0475;0,2547±0,0520;0,2114±0,0576;0,2571±0,0512;0,2295±0,0584;0,2498±0,0561;0,2414±0,0387;0,2606±0,0418;0,2751±0,0483;0,2775±0,0447;0,2871±0,0422;0,2919±0,0444;0,3002±0,0389;0,3109±0,0339;0,3026±0,0377;0,3038±0,0383;0,3037±0,0396;0,3049±0,0360;
mlnotmut_b;0,1909±0,0320;0,2315±0,0288;0,2111±0,0396;0,2437±0,0442;0,2327±0,0587;0,2690±0,0535;0,2534±0,0667;0,2641±0,0534;0,2701±0,0405;0,2785±0,0358;0,2881±0,0431;0,2906±0,0402;0,2979±0,0367;0,3109±0,0365;0,3121±0,0361;0,3182±0,0403;0,3170±0,0432;0,3097±0,0351;0,3074±0,0418;0,3097±0,0346;
