;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;
mLkNN;0,1614±0,0444;0,1942±0,0417;0,1989±0,0429;0,1989±0,0360;0,2337±0,0541;0,1974±0,0481;0,1878±0,0515;0,2171±0,0290;0,2368±0,0317;0,2398±0,0307;0,2193±0,0458;0,2273±0,0447;0,2273±0,0492;0,2336±0,0466;0,2431±0,0603;0,2202±0,0530;0,2446±0,0657;0,2237±0,0567;0,2555±0,0420;0,2181±0,0241;
bRkNN;0,1624±0,0438;0,2179±0,0364;0,2530±0,0471;0,2746±0,0381;0,2867±0,0350;0,2916±0,0419;0,3107±0,0420;0,3271±0,0461;0,3296±0,0420;0,3296±0,0420;0,3296±0,0420;0,3296±0,0420;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;
bRkNN_a;0,1624±0,0438;0,2179±0,0364;0,2530±0,0471;0,2746±0,0381;0,2867±0,0350;0,2916±0,0419;0,3107±0,0420;0,3271±0,0461;0,3296±0,0420;0,3296±0,0420;0,3296±0,0420;0,3296±0,0420;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;
bRkNN_b;0,1614±0,0425;0,2205±0,0316;0,2554±0,0445;0,2771±0,0377;0,2963±0,0295;0,3047±0,0387;0,3166±0,0392;0,3260±0,0410;0,3295±0,0367;0,3307±0,0350;0,3343±0,0355;0,3284±0,0426;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;0,3320±0,0415;
mlmut;0,1637±0,0451;0,1744±0,0375;0,1720±0,0369;0,1720±0,0369;0,1650±0,0334;0,1672±0,0415;0,1733±0,0402;0,1807±0,0363;0,1807±0,0363;0,1807±0,0363;0,1856±0,0337;0,1856±0,0337;0,1856±0,0337;0,1868±0,0339;0,1868±0,0339;0,1868±0,0339;0,1868±0,0339;0,1868±0,0339;0,1891±0,0317;0,1891±0,0317;
mlmut_a;0,1637±0,0451;0,1732±0,0376;0,1720±0,0369;0,1720±0,0369;0,1650±0,0334;0,1672±0,0415;0,1733±0,0402;0,1807±0,0363;0,1807±0,0363;0,1807±0,0363;0,1856±0,0337;0,1856±0,0337;0,1856±0,0337;0,1868±0,0339;0,1868±0,0339;0,1868±0,0339;0,1868±0,0339;0,1868±0,0339;0,1891±0,0317;0,1891±0,0317;
mlmut_b;0,1614±0,0444;0,1697±0,0358;0,1746±0,0375;0,1746±0,0375;0,1710±0,0290;0,1757±0,0343;0,1806±0,0319;0,1880±0,0276;0,1892±0,0313;0,1880±0,0345;0,2000±0,0366;0,1976±0,0367;0,1976±0,0367;0,1976±0,0367;0,1976±0,0367;0,1976±0,0367;0,1976±0,0367;0,1976±0,0367;0,2023±0,0348;0,2034±0,0350;
mlnotmut;0,1818±0,0383;0,2228±0,0599;0,2136±0,0476;0,2394±0,0487;0,2159±0,0349;0,2373±0,0428;0,2446±0,0416;0,2636±0,0384;0,2527±0,0520;0,2634±0,0388;0,2719±0,0439;0,2793±0,0443;0,2782±0,0359;0,2793±0,0379;0,2732±0,0339;0,2817±0,0409;0,2855±0,0403;0,3024±0,0339;0,2997±0,0400;0,2997±0,0391;
mlnotmut_a;0,1806±0,0380;0,2155±0,0563;0,2136±0,0476;0,2394±0,0487;0,2159±0,0349;0,2373±0,0428;0,2446±0,0416;0,2636±0,0384;0,2527±0,0520;0,2634±0,0388;0,2719±0,0439;0,2793±0,0443;0,2782±0,0359;0,2793±0,0379;0,2732±0,0339;0,2817±0,0409;0,2855±0,0403;0,3024±0,0339;0,2997±0,0400;0,2997±0,0391;
mlnotmut_b;0,1928±0,0333;0,2305±0,0519;0,2340±0,0462;0,2586±0,0485;0,2350±0,0358;0,2528±0,0437;0,2624±0,0337;0,2805±0,0346;0,2657±0,0388;0,2719±0,0258;0,2926±0,0340;0,2828±0,0400;0,2879±0,0446;0,2950±0,0300;0,2879±0,0366;0,2757±0,0402;0,2818±0,0388;0,2962±0,0359;0,2984±0,0370;0,2998±0,0391;
