;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;
mLkNN;0,5522±0,0591;0,4962±0,0437;0,5023±0,0467;0,5379±0,0806;0,5123±0,1374;0,4719±0,0859;0,4134±0,0672;0,3849±0,0281;0,4582±0,0552;0,4141±0,0374;0,4180±0,0409;0,4571±0,0452;0,4377±0,0514;0,4263±0,0350;0,5007±0,0746;0,5136±0,0886;0,4833±0,0976;0,4661±0,0965;0,4431±0,0769;0,4197±0,0807;
bRkNN;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;
bRkNN_a;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;
bRkNN_b;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;
mlmut;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;
mlmut_a;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;0,3192±0,0073;
mlmut_b;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;0,3288±0,0056;
mlnotmut;0,5522±0,0591;0,6213±0,0397;0,4930±0,0998;0,5226±0,1190;0,4930±0,0998;0,4840±0,0910;0,4682±0,0965;0,5077±0,1024;0,4412±0,0505;0,4463±0,0522;0,3958±0,0070;0,3708±0,0126;0,3883±0,0060;0,4085±0,0723;0,3598±0,0261;0,3559±0,0304;0,3559±0,0304;0,3462±0,0222;0,3539±0,0308;0,3241±0,0141;
mlnotmut_a;0,5522±0,0591;0,6213±0,0397;0,4930±0,0998;0,5226±0,1190;0,4930±0,0998;0,4840±0,0910;0,4682±0,0965;0,5077±0,1024;0,4412±0,0505;0,4463±0,0522;0,3958±0,0070;0,3708±0,0126;0,3883±0,0060;0,4085±0,0723;0,3598±0,0261;0,3559±0,0304;0,3559±0,0304;0,3462±0,0222;0,3539±0,0308;0,3241±0,0141;
mlnotmut_b;0,5522±0,0591;0,5705±0,0548;0,5094±0,0879;0,5213±0,0921;0,5419±0,0567;0,4725±0,0545;0,4752±0,0553;0,5185±0,0893;0,4762±0,0769;0,4538±0,0501;0,4158±0,0727;0,3733±0,0373;0,4158±0,0727;0,4187±0,0737;0,3938±0,0801;0,3938±0,0801;0,3625±0,0419;0,3231±0,0097;0,3444±0,0121;0,3231±0,0097;
