;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;0,4221±0,0208;
mLkNN;0,1985±0,0638;0,1826±0,0454;0,2563±0,0538;0,2528±0,0405;0,3006±0,0260;0,2964±0,0264;0,3004±0,0425;0,2943±0,0270;0,2920±0,0319;0,3025±0,0418;0,3025±0,0649;0,2984±0,0680;0,3185±0,0561;0,2733±0,0449;0,3265±0,0443;0,3142±0,0531;0,3109±0,0372;0,2604±0,0649;0,2938±0,0462;0,2959±0,0366;
bRkNN;0,2186±0,0682;0,2718±0,0569;0,3043±0,0529;0,3480±0,0159;0,3730±0,0301;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;
bRkNN_a;0,2186±0,0682;0,2718±0,0569;0,3043±0,0529;0,3480±0,0159;0,3730±0,0301;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;0,3955±0,0284;
bRkNN_b;0,2370±0,0725;0,2864±0,0548;0,3307±0,0495;0,3807±0,0223;0,4057±0,0302;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;0,4182±0,0261;
mlmut;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;
mlmut_a;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;0,2186±0,0682;
mlmut_b;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;0,2370±0,0725;
mlnotmut;0,2025±0,0694;0,2994±0,0635;0,2519±0,0575;0,2602±0,0531;0,2606±0,0344;0,2913±0,0461;0,2975±0,0467;0,3347±0,0453;0,3152±0,0501;0,3103±0,0409;0,3292±0,0303;0,3102±0,0353;0,3455±0,0265;0,3370±0,0491;0,3619±0,0299;0,3559±0,0251;0,3805±0,0522;0,3703±0,0393;0,3786±0,0393;0,3659±0,0605;
mlnotmut_a;0,2025±0,0694;0,2953±0,0596;0,2519±0,0575;0,2602±0,0531;0,2606±0,0344;0,2913±0,0461;0,2975±0,0467;0,3347±0,0453;0,3152±0,0501;0,3103±0,0409;0,3292±0,0303;0,3102±0,0353;0,3455±0,0265;0,3370±0,0491;0,3619±0,0299;0,3559±0,0251;0,3805±0,0522;0,3703±0,0393;0,3786±0,0393;0,3659±0,0605;
mlnotmut_b;0,2025±0,0694;0,2852±0,0606;0,2519±0,0575;0,2644±0,0512;0,2606±0,0344;0,2890±0,0553;0,2975±0,0467;0,3307±0,0366;0,3108±0,0453;0,3305±0,0544;0,3438±0,0246;0,3165±0,0233;0,3165±0,0526;0,3398±0,0329;0,3273±0,0350;0,3473±0,0518;0,3292±0,0325;0,3419±0,0255;0,3498±0,0445;0,3946±0,0741;
