;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20
GeneralB;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309
mLkNN;0,4087±0,0375;0,5185±0,0468;0,4695±0,0754;0,4278±0,0824;0,4058±0,0943;0,4445±0,0744;0,5170±0,0372;0,4820±0,0523;0,5099±0,1227;0,4849±0,0698;0,4384±0,0450;0,3974±0,0539;0,3641±0,0226;0,4283±0,0408;0,4170±0,0589;0,4192±0,0548;0,4317±0,0467;0,4200±0,0274;0,3972±0,0048;0,4200±0,0453
bRkNN;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572
bRkNN_a;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572
bRkNN_b;0,4178±0,0327;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414
mlmut;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572
mlmut_a;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572;0,4121±0,0572
mlmut_b;0,4178±0,0327;0,4178±0,0327;0,4178±0,0327;0,4178±0,0327;0,4178±0,0327;0,4178±0,0327;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4219±0,0309;0,4178±0,0327;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414;0,4219±0,0309;0,4094±0,0414;0,4094±0,0414;0,4094±0,0414
mlnotmut;0,4087±0,0375;0,4251±0,0446;0,4087±0,0375;0,4070±0,0288;0,4031±0,0717;0,4737±0,1190;0,4496±0,1122;0,4580±0,1045;0,4192±0,0682;0,4580±0,1045;0,4109±0,0753;0,4538±0,1113;0,4109±0,0753;0,4151±0,0761;0,4109±0,0753;0,4151±0,0761;0,4109±0,0753;0,4151±0,0761;0,4109±0,0753;0,4151±0,0761
mlnotmut_a;0,4087±0,0375;0,4251±0,0446;0,4087±0,0375;0,4070±0,0288;0,4031±0,0717;0,4737±0,1190;0,4496±0,1122;0,4580±0,1045;0,4192±0,0682;0,4580±0,1045;0,4109±0,0753;0,4538±0,1113;0,4109±0,0753;0,4151±0,0761;0,4109±0,0753;0,4151±0,0761;0,4109±0,0753;0,4151±0,0761;0,4109±0,0753;0,4151±0,0761
