;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;
mLkNN;0,3835±0,0425;0,3848±0,0453;0,3834±0,0422;0,4422±0,0433;0,4725±0,0336;0,5086±0,0570;0,4617±0,0258;0,4736±0,0606;0,4984±0,0467;0,4029±0,0501;0,4224±0,0538;0,4528±0,0413;0,4089±0,0694;0,4288±0,0457;0,4178±0,0354;0,4167±0,0445;0,4098±0,0450;0,4294±0,0502;0,4112±0,0547;0,4330±0,0676;
bRkNN;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;
bRkNN_a;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;
bRkNN_b;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;
mlmut;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;
mlmut_a;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;0,3662±0,0208;
mlmut_b;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;0,3736±0,0299;
mlnotmut;0,3835±0,0425;0,4171±0,0370;0,4136±0,0442;0,4350±0,0425;0,4107±0,0457;0,4446±0,0308;0,4446±0,0308;0,4446±0,0308;0,4446±0,0308;0,4361±0,0310;0,4285±0,0316;0,4285±0,0316;0,4263±0,0287;0,4390±0,0395;0,4312±0,0486;0,4312±0,0486;0,4051±0,0338;0,4312±0,0486;0,4312±0,0486;0,4312±0,0486;
mlnotmut_a;0,3835±0,0425;0,4171±0,0370;0,4136±0,0442;0,4350±0,0425;0,4107±0,0457;0,4446±0,0308;0,4446±0,0308;0,4446±0,0308;0,4446±0,0308;0,4361±0,0310;0,4285±0,0316;0,4285±0,0316;0,4263±0,0287;0,4390±0,0395;0,4312±0,0486;0,4312±0,0486;0,4051±0,0338;0,4312±0,0486;0,4312±0,0486;0,4312±0,0486;
mlnotmut_b;0,3835±0,0425;0,4048±0,0330;0,4117±0,0419;0,4350±0,0425;0,4133±0,0451;0,4446±0,0308;0,4446±0,0308;0,4510±0,0243;0,4399±0,0365;0,4335±0,0293;0,4285±0,0316;0,4285±0,0316;0,4288±0,0299;0,4390±0,0395;0,4367±0,0419;0,4367±0,0419;0,4101±0,0334;0,4367±0,0419;0,4341±0,0450;0,4367±0,0419;
