;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20
GeneralB;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116
mLkNN;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0827±0,0035;0,0827±0,0080;0,0903±0,0027;0,0904±0,0072;0,0961±0,0056;0,0926±0,0079;0,0948±0,0040;0,0904±0,0039;0,0949±0,0020;0,1014±0,0068;0,0993±0,0014;0,0998±0,0033;0,1025±0,0080;0,0926±0,0032;0,1020±0,0046
bRkNN;0,0743±0,0057;0,1079±0,0112;0,1380±0,0099;0,1545±0,0086;0,1703±0,0086;0,1827±0,0097;0,1884±0,0124;0,2016±0,0015;0,2057±0,0059;0,2125±0,0062;0,2146±0,0043;0,2179±0,0019;0,2179±0,0019;0,2206±0,0001;0,2339±0,0188;0,2362±0,0197;0,2439±0,0163;0,2592±0,0269;0,2633±0,0303;0,2744±0,0222
bRkNN_a;0,0743±0,0057;0,1079±0,0112;0,1380±0,0099;0,1545±0,0086;0,1703±0,0086;0,1827±0,0097;0,1884±0,0124;0,2016±0,0015;0,2057±0,0059;0,2125±0,0062;0,2146±0,0043;0,2179±0,0019;0,2179±0,0019;0,2206±0,0001;0,2339±0,0188;0,2362±0,0197;0,2439±0,0163;0,2592±0,0269;0,2633±0,0303;0,2744±0,0222
bRkNN_b;0,0792±0,0070;0,1110±0,0107;0,1390±0,0092;0,1560±0,0088;0,1722±0,0066;0,1836±0,0098;0,1905±0,0143;0,2010±0,0040;0,2033±0,0071;0,2101±0,0077;0,2118±0,0059;0,2168±0,0039;0,2168±0,0039;0,2168±0,0039;0,2299±0,0204;0,2299±0,0204;0,2396±0,0156;0,2579±0,0307;0,2603±0,0335;0,2760±0,0260
mlmut;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057
mlmut_a;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057;0,0743±0,0057
mlmut_b;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070;0,0792±0,0070
mlnotmut;0,0792±0,0070;0,0967±0,0073;0,0952±0,0073;0,1090±0,0093;0,1098±0,0110;0,1314±0,0290;0,1258±0,0121;0,1395±0,0239;0,1347±0,0095;0,1520±0,0190;0,1599±0,0170;0,1599±0,0214;0,1455±0,0054;0,1436±0,0052;0,1475±0,0063;0,1449±0,0064;0,1576±0,0078;0,1532±0,0065;0,1605±0,0083;0,1586±0,0111
