;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;;;;;;;;;;;;;;;;;;;;;;
GeneralB;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;;;;;;;;;;;;;;;;;;;;;;
mLkNN;0,3754±0,0136;0,3754±0,0136;0,3754±0,0136;0,4064±0,0324;0,4140±0,0430;0,4597±0,0144;0,4928±0,0442;0,4623±0,0227;0,4267±0,0346;0,4505±0,0648;0,4141±0,0425;0,4535±0,0187;0,4490±0,0137;0,4845±0,0288;0,4857±0,0303;0,4206±0,0405;0,4346±0,0566;0,4532±0,0266;0,4252±0,0894;0,4824±0,0554;;;;;;;;;;;;;;;;;;;;;;
bRkNN;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;;;;;;;;;;;;;;;;;;;;;;
bRkNN_a;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;;;;;;;;;;;;;;;;;;;;;;
bRkNN_b;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;;;;;;;;;;;;;;;;;;;;;;
mlmut;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;;;;;;;;;;;;;;;;;;;;;;
mlmut_a;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;0,3662±0,0094;;;;;;;;;;;;;;;;;;;;;;
mlmut_b;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;;;;;;;;;;;;;;;;;;;;;;
mlnotmut;0,3754±0,0136;0,3754±0,0136;0,3941±0,0092;0,4035±0,0455;0,3941±0,0092;0,4326±0,0346;0,3969±0,0130;0,4326±0,0346;0,3969±0,0130;0,4265±0,0432;0,4265±0,0432;0,4265±0,0432;0,3879±0,0168;0,3879±0,0168;0,3868±0,0166;0,3879±0,0168;0,3868±0,0166;0,3915±0,0123;0,3868±0,0166;0,3868±0,0166;;;;;;;;;;;;;;;;;;;;;;
