;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;;;;;;;;;;;;;;;;;;;;;;
GeneralB;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;0,3736±0,0116;;;;;;;;;;;;;;;;;;;;;;
mLkNN;0,0730±0,0121;0,0764±0,0105;0,0765±0,0062;0,0799±0,0101;0,0784±0,0053;0,0885±0,0196;0,0856±0,0084;0,0850±0,0091;0,0920±0,0114;0,0903±0,0108;0,0976±0,0097;0,0971±0,0093;0,1040±0,0063;0,1008±0,0218;0,1040±0,0023;0,1011±0,0101;0,1063±0,0022;0,1171±0,0153;0,1145±0,0112;0,1098±0,0074;;;;;;;;;;;;;;;;;;;;;;
bRkNN;0,0673±0,0052;0,0894±0,0062;0,1182±0,0079;0,1369±0,0114;0,1433±0,0124;0,1509±0,0094;0,1585±0,0036;0,1629±0,0056;0,1664±0,0043;0,1751±0,0045;0,1833±0,0025;0,1906±0,0011;0,1930±0,0033;0,1987±0,0038;0,1978±0,0031;0,1975±0,0029;0,2006±0,0027;0,2119±0,0182;0,2217±0,0151;0,2227±0,0134;;;;;;;;;;;;;;;;;;;;;;
bRkNN_a;0,0670±0,0053;0,0891±0,0064;0,1179±0,0081;0,1366±0,0116;0,1430±0,0126;0,1506±0,0096;0,1583±0,0037;0,1627±0,0058;0,1662±0,0042;0,1750±0,0047;0,1832±0,0027;0,1905±0,0012;0,1928±0,0031;0,1985±0,0037;0,1978±0,0031;0,1975±0,0029;0,2006±0,0027;0,2119±0,0182;0,2217±0,0151;0,2227±0,0134;;;;;;;;;;;;;;;;;;;;;;
bRkNN_b;0,0660±0,0054;0,0895±0,0073;0,1176±0,0099;0,1377±0,0134;0,1444±0,0150;0,1535±0,0113;0,1618±0,0058;0,1671±0,0068;0,1715±0,0048;0,1802±0,0059;0,1889±0,0046;0,1946±0,0011;0,1969±0,0022;0,2013±0,0022;0,2049±0,0061;0,2060±0,0058;0,2089±0,0036;0,2213±0,0174;0,2295±0,0174;0,2281±0,0168;;;;;;;;;;;;;;;;;;;;;;
mlmut;0,0678±0,0039;0,0684±0,0056;0,0679±0,0060;0,0697±0,0065;0,0694±0,0060;0,0705±0,0055;0,0704±0,0055;0,0698±0,0063;0,0710±0,0065;0,0700±0,0055;0,0713±0,0066;0,0723±0,0083;0,0708±0,0070;0,0717±0,0059;0,0733±0,0058;0,0719±0,0075;0,0719±0,0075;0,0727±0,0075;0,0745±0,0077;0,0743±0,0072;;;;;;;;;;;;;;;;;;;;;;
mlmut_a;0,0675±0,0040;0,0681±0,0056;0,0678±0,0062;0,0694±0,0066;0,0692±0,0062;0,0703±0,0057;0,0703±0,0057;0,0698±0,0063;0,0710±0,0065;0,0700±0,0055;0,0713±0,0066;0,0719±0,0077;0,0708±0,0070;0,0716±0,0061;0,0732±0,0059;0,0717±0,0077;0,0717±0,0077;0,0727±0,0075;0,0745±0,0077;0,0743±0,0072;;;;;;;;;;;;;;;;;;;;;;
mlmut_b;0,0663±0,0050;0,0686±0,0062;0,0698±0,0077;0,0720±0,0077;0,0732±0,0079;0,0746±0,0083;0,0767±0,0090;0,0768±0,0088;0,0777±0,0079;0,0770±0,0082;0,0797±0,0081;0,0802±0,0085;0,0816±0,0087;0,0828±0,0081;0,0834±0,0072;0,0833±0,0075;0,0849±0,0052;0,0852±0,0048;0,0871±0,0033;0,0872±0,0034;;;;;;;;;;;;;;;;;;;;;;
mlnotmut;0,0701±0,0071;0,0898±0,0078;0,0838±0,0049;0,1050±0,0100;0,0944±0,0063;0,1093±0,0064;0,1055±0,0028;0,1150±0,0056;0,1142±0,0100;0,1171±0,0057;0,1204±0,0040;0,1242±0,0026;0,1272±0,0045;0,1315±0,0024;0,1322±0,0040;0,1389±0,0043;0,1394±0,0088;0,1432±0,0087;0,1452±0,0086;0,1509±0,0047;;;;;;;;;;;;;;;;;;;;;;
