;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20
GeneralB;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254
mLkNN;0,3766±0,0267;0,3766±0,0267;0,3766±0,0267;0,4033±0,0202;0,4308±0,0535;0,4790±0,0391;0,4622±0,0605;0,4397±0,0586;0,4858±0,0553;0,4476±0,0514;0,4068±0,0703;0,4331±0,0581;0,4065±0,0433;0,4150±0,0339;0,4136±0,0310;0,3786±0,0345;0,3890±0,0401;0,4457±0,0458;0,4293±0,0579;0,4152±0,0289
bRkNN;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177
bRkNN_a;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177
bRkNN_b;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254
mlmut;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177
mlmut_a;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177;0,3662±0,0177
mlmut_b;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254
mlnotmut;0,3766±0,0267;0,4087±0,0279;0,3769±0,0267;0,3770±0,0270;0,3713±0,0263;0,4726±0,0742;0,3766±0,0267;0,3859±0,0144;0,3748±0,0218;0,3748±0,0218;0,3715±0,0198;0,3748±0,0218;0,4123±0,0372;0,4269±0,0369;0,4217±0,0433;0,4269±0,0369;0,4176±0,0313;0,3748±0,0218;0,3715±0,0198;0,3748±0,0218
mlnotmut_a;0,3766±0,0267;0,4087±0,0279;0,3769±0,0267;0,3770±0,0270;0,3713±0,0263;0,4685±0,0708;0,3766±0,0267;0,3859±0,0144;0,3748±0,0218;0,3748±0,0218;0,3715±0,0198;0,3748±0,0218;0,4123±0,0372;0,4269±0,0369;0,4217±0,0433;0,4269±0,0369;0,4176±0,0313;0,3748±0,0218;0,3715±0,0198;0,3748±0,0218
mlnotmut_b;0,3766±0,0267;0,3976±0,0167;0,3769±0,0267;0,3736±0,0254;0,3713±0,0263;0,4432±0,0620;0,3713±0,0263;0,3728±0,0153;0,3728±0,0153;0,3811±0,0294;0,3715±0,0198;0,3728±0,0153;0,3789±0,0111;0,4250±0,0472;0,4767±0,0885;0,4303±0,0410;0,3842±0,0083;0,3780±0,0156;0,3766±0,0267;0,3780±0,0156
;;;;;;;;;;;;;;;;;;;;
Algorithm;K = 1;K = 2;K = 3;K = 4;K = 5;K = 6;K = 7;K = 8;K = 9;K = 10;K = 11;;K = 13;K = 14;K = 15;K = 16;K = 17;K = 18;K = 19;K = 20
GeneralB;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736
MLkNN;0,3766;0,3766;0,3766;0,4033;0,4308;0,4790;0,4622;0,4397;0,4858;0,4476;0,4068;0,4331;0,4065;0,4150;0,4136;0,3786;0,3890;0,4457;0,4293;0,4152
BRkNN;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
BRkNN-a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
BRkNN-b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736
MLMUT;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
MLMUT -a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
MLMUT -b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736
MLnotMUT;0,3766;0,4087;0,3769;0,3770;0,3713;0,4726;0,3766;0,3859;0,3748;0,3748;0,3715;0,3748;0,4123;0,4269;0,4217;0,4269;0,4176;0,3748;0,3715;0,3748
MLnotMUT-a;0,3766;0,4087;0,3769;0,3770;0,3713;0,4685;0,3766;0,3859;0,3748;0,3748;0,3715;0,3748;0,4123;0,4269;0,4217;0,4269;0,4176;0,3748;0,3715;0,3748
MLnotMUT-b;0,3766;0,3976;0,3769;0,3736;0,3713;0,4432;0,3713;0,3728;0,3728;0,3811;0,3715;0,3728;0,3789;0,4250;0,4767;0,4303;0,3842;0,3780;0,3766;0,3780
;;;;;;;;;;;;;;;;;;;;
Algorithm;K = 1;K = 2;K = 3;K = 4;K = 5;K = 6;K = 7;K = 8;K = 9;K = 10;K = 11;K = 12;K = 13;K = 14;K = 15;K = 16;K = 17;K = 18;K = 19;K = 20
GeneralB;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736
MLkNN;0,3766;0,3766;0,3766;0,4033;0,4308;0,4790;0,4622;0,4397;0,4858;0,4476;0,4068;0,4331;0,4065;0,4150;0,4136;0,3786;0,3890;0,4457;0,4293;0,4152
BRkNN;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
BRkNN-a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
BRkNN-b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736
MLMUT;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
MLMUT -a;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662;0,3662
MLMUT -b;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736;0,3736
