;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;0,3736±0,0254;
mLkNN;0,0574±0,0113;0,0625±0,0102;0,0679±0,0132;0,0701±0,0129;0,0722±0,0111;0,0730±0,0119;0,0776±0,0141;0,0768±0,0123;0,0828±0,0120;0,0846±0,0115;0,0828±0,0127;0,0856±0,0151;0,0958±0,0126;0,0835±0,0141;0,0909±0,0084;0,0808±0,0114;0,0909±0,0100;0,0910±0,0104;0,0899±0,0126;0,0933±0,0101;
bRkNN;0,0577±0,0120;0,0767±0,0112;0,1031±0,0082;0,1177±0,0104;0,1331±0,0112;0,1437±0,0084;0,1481±0,0093;0,1525±0,0097;0,1610±0,0078;0,1642±0,0095;0,1719±0,0117;0,1772±0,0144;0,1838±0,0103;0,1851±0,0094;0,1900±0,0099;0,1949±0,0092;0,1962±0,0091;0,1978±0,0118;0,1985±0,0113;0,2004±0,0106;
bRkNN_a;0,0576±0,0117;0,0765±0,0111;0,1030±0,0080;0,1176±0,0103;0,1329±0,0111;0,1436±0,0083;0,1481±0,0093;0,1525±0,0097;0,1610±0,0078;0,1642±0,0095;0,1719±0,0117;0,1772±0,0144;0,1838±0,0103;0,1851±0,0094;0,1900±0,0099;0,1949±0,0092;0,1962±0,0091;0,1978±0,0118;0,1985±0,0113;0,2004±0,0106;
bRkNN_b;0,0577±0,0109;0,0773±0,0117;0,1050±0,0084;0,1189±0,0117;0,1370±0,0117;0,1491±0,0097;0,1544±0,0108;0,1582±0,0100;0,1653±0,0090;0,1694±0,0104;0,1776±0,0120;0,1832±0,0142;0,1883±0,0102;0,1896±0,0091;0,1944±0,0101;0,1994±0,0087;0,2028±0,0099;0,2036±0,0113;0,2036±0,0117;0,2055±0,0105;
mlmut;0,0577±0,0121;0,0583±0,0118;0,0592±0,0114;0,0600±0,0120;0,0603±0,0109;0,0612±0,0121;0,0611±0,0108;0,0621±0,0120;0,0609±0,0109;0,0618±0,0126;0,0614±0,0115;0,0612±0,0123;0,0603±0,0119;0,0603±0,0119;0,0603±0,0130;0,0606±0,0129;0,0606±0,0129;0,0606±0,0129;0,0628±0,0139;0,0631±0,0137;
mlmut_a;0,0576±0,0119;0,0581±0,0116;0,0592±0,0114;0,0599±0,0118;0,0603±0,0109;0,0611±0,0118;0,0611±0,0108;0,0621±0,0120;0,0608±0,0110;0,0616±0,0123;0,0614±0,0115;0,0611±0,0120;0,0603±0,0119;0,0603±0,0119;0,0603±0,0130;0,0606±0,0129;0,0606±0,0129;0,0606±0,0129;0,0628±0,0139;0,0631±0,0137;
mlmut_b;0,0576±0,0110;0,0580±0,0113;0,0616±0,0108;0,0621±0,0106;0,0637±0,0095;0,0643±0,0101;0,0659±0,0094;0,0676±0,0107;0,0679±0,0102;0,0687±0,0114;0,0695±0,0118;0,0710±0,0116;0,0729±0,0115;0,0735±0,0116;0,0745±0,0119;0,0748±0,0120;0,0752±0,0116;0,0754±0,0118;0,0764±0,0116;0,0776±0,0121;
mlnotmut;0,0616±0,0106;0,0814±0,0175;0,0742±0,0119;0,0858±0,0179;0,0852±0,0113;0,0947±0,0142;0,0988±0,0139;0,1078±0,0155;0,1066±0,0145;0,1183±0,0150;0,1205±0,0184;0,1267±0,0184;0,1200±0,0213;0,1262±0,0236;0,1268±0,0269;0,1312±0,0286;0,1303±0,0288;0,1351±0,0273;0,1331±0,0276;0,1346±0,0301;
mlnotmut_a;0,0616±0,0106;0,0803±0,0176;0,0741±0,0120;0,0858±0,0179;0,0847±0,0112;0,0945±0,0140;0,0988±0,0139;0,1078±0,0155;0,1066±0,0145;0,1183±0,0150;0,1205±0,0184;0,1268±0,0182;0,1200±0,0213;0,1262±0,0236;0,1268±0,0269;0,1314±0,0284;0,1303±0,0288;0,1351±0,0273;0,1331±0,0276;0,1347±0,0299;
mlnotmut_b;0,0711±0,0108;0,0849±0,0126;0,0844±0,0138;0,0934±0,0185;0,0993±0,0135;0,1066±0,0194;0,1134±0,0169;0,1186±0,0203;0,1234±0,0157;0,1258±0,0177;0,1321±0,0189;0,1348±0,0209;0,1321±0,0249;0,1392±0,0239;0,1395±0,0287;0,1413±0,0327;0,1430±0,0320;0,1487±0,0287;0,1468±0,0273;0,1439±0,0322;
