;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;0,3737±0,0336;
mLkNN;0,0500±0,0145;0,0558±0,0143;0,0631±0,0151;0,0620±0,0148;0,0640±0,0143;0,0630±0,0134;0,0719±0,0145;0,0703±0,0134;0,0719±0,0140;0,0732±0,0144;0,0717±0,0153;0,0741±0,0161;0,0836±0,0142;0,0757±0,0158;0,0782±0,0160;0,0742±0,0181;0,0831±0,0095;0,0792±0,0151;0,0837±0,0187;0,0811±0,0168;
bRkNN;0,0503±0,0138;0,0694±0,0117;0,0961±0,0147;0,1144±0,0157;0,1279±0,0190;0,1357±0,0190;0,1460±0,0160;0,1503±0,0167;0,1525±0,0166;0,1570±0,0169;0,1637±0,0153;0,1690±0,0191;0,1772±0,0187;0,1801±0,0196;0,1857±0,0184;0,1890±0,0201;0,1911±0,0194;0,1940±0,0216;0,1953±0,0207;0,1998±0,0178;
bRkNN_a;0,0503±0,0138;0,0694±0,0117;0,0961±0,0147;0,1144±0,0157;0,1279±0,0190;0,1357±0,0190;0,1460±0,0160;0,1503±0,0167;0,1525±0,0166;0,1570±0,0169;0,1637±0,0153;0,1690±0,0191;0,1772±0,0187;0,1801±0,0196;0,1857±0,0184;0,1890±0,0201;0,1911±0,0194;0,1940±0,0216;0,1953±0,0207;0,1998±0,0178;
bRkNN_b;0,0498±0,0142;0,0687±0,0125;0,0980±0,0137;0,1154±0,0166;0,1312±0,0207;0,1398±0,0213;0,1512±0,0178;0,1557±0,0182;0,1592±0,0167;0,1643±0,0170;0,1700±0,0160;0,1759±0,0184;0,1838±0,0171;0,1860±0,0184;0,1911±0,0173;0,1941±0,0193;0,1955±0,0188;0,1988±0,0205;0,2006±0,0188;0,2052±0,0184;
mlmut;0,0503±0,0138;0,0514±0,0143;0,0535±0,0152;0,0541±0,0149;0,0551±0,0143;0,0547±0,0143;0,0552±0,0160;0,0560±0,0164;0,0558±0,0157;0,0558±0,0146;0,0564±0,0157;0,0585±0,0160;0,0577±0,0158;0,0588±0,0176;0,0588±0,0169;0,0592±0,0173;0,0583±0,0170;0,0577±0,0171;0,0583±0,0182;0,0580±0,0179;
mlmut_a;0,0503±0,0138;0,0514±0,0143;0,0535±0,0152;0,0541±0,0149;0,0551±0,0143;0,0547±0,0143;0,0552±0,0160;0,0558±0,0163;0,0558±0,0157;0,0558±0,0146;0,0564±0,0157;0,0583±0,0159;0,0577±0,0158;0,0586±0,0175;0,0588±0,0169;0,0590±0,0172;0,0583±0,0170;0,0577±0,0171;0,0583±0,0182;0,0580±0,0179;
mlmut_b;0,0498±0,0142;0,0510±0,0149;0,0548±0,0150;0,0552±0,0146;0,0570±0,0144;0,0576±0,0150;0,0598±0,0146;0,0603±0,0146;0,0620±0,0141;0,0628±0,0154;0,0653±0,0150;0,0677±0,0145;0,0679±0,0147;0,0687±0,0156;0,0701±0,0155;0,0700±0,0156;0,0709±0,0161;0,0710±0,0162;0,0710±0,0162;0,0713±0,0162;
mlnotmut;0,0548±0,0139;0,0735±0,0136;0,0720±0,0152;0,0814±0,0105;0,0796±0,0148;0,0871±0,0133;0,0879±0,0121;0,1021±0,0117;0,1039±0,0130;0,1069±0,0168;0,1097±0,0172;0,1138±0,0179;0,1147±0,0171;0,1231±0,0189;0,1243±0,0164;0,1291±0,0182;0,1285±0,0155;0,1331±0,0151;0,1322±0,0146;0,1363±0,0151;
mlnotmut_a;0,0548±0,0139;0,0725±0,0128;0,0720±0,0152;0,0814±0,0105;0,0795±0,0146;0,0872±0,0132;0,0879±0,0121;0,1020±0,0116;0,1039±0,0130;0,1069±0,0168;0,1097±0,0172;0,1138±0,0179;0,1147±0,0171;0,1231±0,0189;0,1243±0,0164;0,1291±0,0182;0,1285±0,0155;0,1331±0,0151;0,1322±0,0146;0,1363±0,0151;
mlnotmut_b;0,0636±0,0161;0,0770±0,0157;0,0844±0,0138;0,0909±0,0114;0,0935±0,0126;0,0976±0,0113;0,1028±0,0150;0,1158±0,0143;0,1174±0,0146;0,1208±0,0180;0,1266±0,0173;0,1302±0,0175;0,1315±0,0203;0,1344±0,0192;0,1398±0,0171;0,1405±0,0144;0,1435±0,0171;0,1451±0,0168;0,1474±0,0145;0,1484±0,0160;
