;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;0,3737±0,0190;
mLkNN;0,0505±0,0135;0,0573±0,0134;0,0652±0,0146;0,0653±0,0128;0,0655±0,0111;0,0649±0,0115;0,0714±0,0145;0,0701±0,0145;0,0733±0,0130;0,0761±0,0154;0,0725±0,0161;0,0799±0,0159;0,0858±0,0128;0,0763±0,0151;0,0798±0,0178;0,0796±0,0210;0,0841±0,0099;0,0850±0,0125;0,0824±0,0115;0,0881±0,0175;
bRkNN;0,0504±0,0137;0,0707±0,0102;0,0928±0,0148;0,1129±0,0123;0,1271±0,0174;0,1366±0,0181;0,1450±0,0180;0,1519±0,0161;0,1542±0,0155;0,1598±0,0198;0,1667±0,0191;0,1697±0,0189;0,1768±0,0209;0,1813±0,0215;0,1854±0,0213;0,1899±0,0216;0,1902±0,0218;0,1952±0,0246;0,1963±0,0256;0,1979±0,0243;
bRkNN_a;0,0503±0,0136;0,0706±0,0101;0,0926±0,0145;0,1128±0,0121;0,1269±0,0173;0,1364±0,0180;0,1449±0,0178;0,1518±0,0160;0,1541±0,0154;0,1596±0,0197;0,1665±0,0190;0,1696±0,0188;0,1766±0,0208;0,1811±0,0214;0,1852±0,0211;0,1898±0,0215;0,1901±0,0217;0,1950±0,0244;0,1962±0,0254;0,1978±0,0242;
bRkNN_b;0,0500±0,0135;0,0697±0,0098;0,0939±0,0140;0,1128±0,0114;0,1301±0,0165;0,1402±0,0173;0,1497±0,0177;0,1566±0,0158;0,1586±0,0152;0,1645±0,0196;0,1715±0,0179;0,1756±0,0180;0,1823±0,0197;0,1860±0,0199;0,1899±0,0197;0,1940±0,0202;0,1940±0,0205;0,1979±0,0234;0,2010±0,0255;0,2026±0,0244;
mlmut;0,0505±0,0142;0,0514±0,0135;0,0539±0,0138;0,0554±0,0139;0,0557±0,0131;0,0560±0,0129;0,0558±0,0135;0,0562±0,0142;0,0564±0,0133;0,0573±0,0141;0,0568±0,0131;0,0570±0,0136;0,0570±0,0136;0,0570±0,0140;0,0573±0,0143;0,0577±0,0146;0,0573±0,0143;0,0583±0,0149;0,0577±0,0152;0,0589±0,0146;
mlmut_a;0,0504±0,0140;0,0513±0,0133;0,0538±0,0137;0,0552±0,0138;0,0555±0,0130;0,0558±0,0128;0,0557±0,0133;0,0561±0,0140;0,0562±0,0131;0,0573±0,0141;0,0568±0,0131;0,0570±0,0136;0,0570±0,0136;0,0570±0,0140;0,0573±0,0143;0,0576±0,0145;0,0573±0,0143;0,0583±0,0149;0,0577±0,0152;0,0587±0,0145;
mlmut_b;0,0498±0,0137;0,0514±0,0141;0,0551±0,0137;0,0562±0,0134;0,0573±0,0133;0,0573±0,0126;0,0599±0,0116;0,0606±0,0115;0,0627±0,0127;0,0634±0,0132;0,0640±0,0138;0,0640±0,0144;0,0646±0,0144;0,0655±0,0153;0,0665±0,0150;0,0669±0,0152;0,0669±0,0151;0,0677±0,0157;0,0678±0,0160;0,0682±0,0158;
mlnotmut;0,0554±0,0129;0,0679±0,0147;0,0681±0,0096;0,0825±0,0112;0,0773±0,0119;0,0901±0,0115;0,0929±0,0110;0,1004±0,0124;0,1014±0,0117;0,1080±0,0144;0,1129±0,0156;0,1227±0,0154;0,1231±0,0167;0,1290±0,0179;0,1300±0,0168;0,1354±0,0165;0,1347±0,0159;0,1343±0,0135;0,1283±0,0127;0,1340±0,0139;
mlnotmut_a;0,0554±0,0129;0,0678±0,0148;0,0681±0,0096;0,0822±0,0111;0,0771±0,0118;0,0901±0,0113;0,0929±0,0110;0,1002±0,0123;0,1014±0,0117;0,1080±0,0144;0,1129±0,0156;0,1227±0,0154;0,1231±0,0167;0,1290±0,0179;0,1300±0,0168;0,1354±0,0165;0,1347±0,0159;0,1343±0,0135;0,1283±0,0127;0,1340±0,0139;
mlnotmut_b;0,0653±0,0137;0,0753±0,0143;0,0779±0,0122;0,0858±0,0142;0,0897±0,0130;0,0980±0,0133;0,1065±0,0090;0,1104±0,0107;0,1172±0,0097;0,1179±0,0116;0,1259±0,0107;0,1350±0,0126;0,1376±0,0122;0,1426±0,0112;0,1449±0,0105;0,1477±0,0087;0,1475±0,0120;0,1477±0,0117;0,1429±0,0098;0,1481±0,0100;
