;k=1;k=2;k=3;k=4;k=5;k=6;k=7;k=8;k=9;k=10;k=11;k=12;k=13;k=14;k=15;k=16;k=17;k=18;k=19;k=20;
GeneralB;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;0,0378±0,0003;
mLkNN;0,0182±0,0005;0,0180±0,0004;0,0163±0,0011;0,0165±0,0010;0,0160±0,0009;0,0161±0,0009;0,0158±0,0010;0,0158±0,0007;0,0163±0,0004;0,0159±0,0012;0,0158±0,0009;0,0159±0,0005;0,0159±0,0010;0,0157±0,0010;0,0159±0,0007;0,0160±0,0009;0,0162±0,0013;0,0158±0,0008;0,0168±0,0010;0,0158±0,0012;
bRkNN;0,0179±0,0010;0,0172±0,0006;0,0173±0,0010;0,0177±0,0012;0,0176±0,0014;0,0179±0,0010;0,0181±0,0011;0,0183±0,0011;0,0185±0,0011;0,0186±0,0009;0,0187±0,0009;0,0187±0,0007;0,0190±0,0006;0,0191±0,0006;0,0191±0,0005;0,0192±0,0005;0,0193±0,0005;0,0194±0,0004;0,0195±0,0004;0,0195±0,0003;
bRkNN_a;0,0184±0,0008;0,0185±0,0008;0,0184±0,0014;0,0185±0,0014;0,0185±0,0020;0,0184±0,0022;0,0189±0,0021;0,0191±0,0023;0,0194±0,0021;0,0199±0,0019;0,0202±0,0021;0,0203±0,0020;0,0204±0,0021;0,0209±0,0015;0,0210±0,0016;0,0212±0,0016;0,0220±0,0013;0,0223±0,0014;0,0227±0,0012;0,0228±0,0012;
bRkNN_b;0,0191±0,0009;0,0195±0,0011;0,0191±0,0017;0,0188±0,0019;0,0191±0,0021;0,0193±0,0023;0,0196±0,0027;0,0196±0,0023;0,0200±0,0021;0,0202±0,0019;0,0210±0,0017;0,0214±0,0016;0,0217±0,0016;0,0220±0,0014;0,0219±0,0015;0,0224±0,0014;0,0227±0,0012;0,0231±0,0012;0,0233±0,0012;0,0234±0,0013;
mlmut;0,0181±0,0011;0,0182±0,0007;0,0180±0,0009;0,0181±0,0008;0,0182±0,0009;0,0182±0,0012;0,0180±0,0010;0,0181±0,0013;0,0180±0,0011;0,0181±0,0009;0,0181±0,0007;0,0182±0,0007;0,0181±0,0006;0,0182±0,0006;0,0183±0,0010;0,0184±0,0010;0,0184±0,0009;0,0186±0,0010;0,0184±0,0010;0,0184±0,0011;
mlmut_a;0,0186±0,0009;0,0187±0,0006;0,0185±0,0007;0,0186±0,0005;0,0182±0,0011;0,0186±0,0011;0,0185±0,0014;0,0185±0,0013;0,0189±0,0013;0,0186±0,0009;0,0187±0,0006;0,0185±0,0007;0,0186±0,0006;0,0187±0,0005;0,0186±0,0012;0,0189±0,0010;0,0190±0,0012;0,0190±0,0012;0,0186±0,0011;0,0187±0,0010;
mlmut_b;0,0191±0,0010;0,0190±0,0007;0,0190±0,0007;0,0189±0,0006;0,0189±0,0006;0,0189±0,0011;0,0191±0,0011;0,0192±0,0011;0,0195±0,0009;0,0194±0,0009;0,0196±0,0009;0,0200±0,0013;0,0202±0,0011;0,0200±0,0011;0,0198±0,0016;0,0196±0,0014;0,0196±0,0013;0,0196±0,0015;0,0196±0,0013;0,0195±0,0016;
mlnotmut;0,0190±0,0005;0,0169±0,0003;0,0158±0,0002;0,0162±0,0005;0,0163±0,0011;0,0169±0,0009;0,0168±0,0008;0,0175±0,0007;0,0174±0,0009;0,0177±0,0003;0,0181±0,0003;0,0184±0,0005;0,0183±0,0004;0,0185±0,0006;0,0186±0,0005;0,0185±0,0004;0,0188±0,0005;0,0190±0,0003;0,0191±0,0002;0,0193±0,0002;
mlnotmut_a;0,0192±0,0004;0,0182±0,0005;0,0166±0,0006;0,0153±0,0006;0,0157±0,0014;0,0160±0,0015;0,0161±0,0011;0,0168±0,0010;0,0165±0,0014;0,0163±0,0015;0,0168±0,0011;0,0170±0,0011;0,0172±0,0016;0,0171±0,0015;0,0173±0,0016;0,0180±0,0017;0,0185±0,0018;0,0185±0,0015;0,0191±0,0014;0,0195±0,0017;
mlnotmut_b;0,0189±0,0005;0,0191±0,0006;0,0173±0,0008;0,0160±0,0008;0,0165±0,0012;0,0170±0,0017;0,0165±0,0013;0,0171±0,0016;0,0173±0,0014;0,0172±0,0020;0,0172±0,0012;0,0177±0,0012;0,0177±0,0011;0,0176±0,0015;0,0178±0,0015;0,0181±0,0015;0,0191±0,0011;0,0190±0,0015;0,0197±0,0011;0,0198±0,0013;
